,"UPI Banks
","Volume (Mn) By Costumers
","Value (Cr) by Costumers
","Volume (Mn)
",Value (Cr),Month
202,Indian Overseas Bank Apps,0.01,3.02,0.01,3.02,4
203,IndusInd Bank App,0.18,7.73,0.18,7.73,4
204,IndusInd Bank App,2.7,375.64,2.7,375.64,4
205,IndusInd Bank Apps,0.04,3.26,0.04,3.26,4
206,IndusInd Bank Apps,0.01,1.06,0.01,1.06,4
207,IndusInd Bank Apps,0.08,4.45,0.08,4.45,4
208,IndusInd Bank Apps,0.01,3.31,0.01,3.31,4
209,Jammu and Kashmir Bank App,1914.77,344791.35,1914.77,344791.35,4
210,Jammu and Kashmir Bank App,0.61,376.18,0.61,376.18,4
211,Jammu and Kashmir Bank Apps,5.9,1759.12,5.9,1759.12,4
212,Janata Sahakari Bank Apps,0.11,59.7,0.11,59.72,4
213,Janata Sahakari Bank Apps,32.82,9086.72,37.65,9356.17,4
214,Janata Sahakari Bank Apps,0.03,16.78,0.03,16.78,4
215,Janata Sahakari Bank Apps,2.49,532.69,2.49,532.69,4
216,Janta Sahakari Bank App,2.8,328.53,2.8,328.53,4
217,Janta Sahakari Bank App,0.14,49.9,0.14,49.9,4
218,Jio Payments Bank App,0.01,1.52,0.01,1.52,4
219,Jio Payments Bank App,1.02,2596.71,1.02,2596.71,4
220,Jio Payments Bank Apps,0.01,4.28,0.01,4.28,4
221,Jio Payments Bank Apps,2.1,126.25,2.1,126.25,4
222,Jio Payments Bank Apps,1.47,186.13,1.47,186.13,4
223,Jio Payments Bank Apps,0.01,0.43,0.01,0.43,4
224,Jupiter,0.27,35.58,0.27,35.58,4
225,Jupiter,0.04,18.54,0.04,18.54,4
226,Jupiter,7.96,1684.35,7.96,1684.35,4
227,Jupiter,0.09,41.18,0.09,41.18,4
228,Jupiter Edge (LivQuick PPI App),0.19,28.58,0.19,28.58,4
229,Jupiter Edge (LivQuick PPI),2.37,421.47,2.37,421.47,4
